"Station number","River","Location","Minimum altitude","10 percentile altitude","50 percentile altitude","90 percentile altitude","Maximum altitude"
"39108","Churn","Perrott's Brook","120","170","220","270","300"
"39109","Coln","Fossebridge","120","160","210","270","330"
"39110","Coln","Fairford","84","130","180","260","330"
"39111","Thames","Staines","13","59","100","190","330"
"39112","Letcombe Brook","Arabellas Lake","110","130","170","230","240"
"39113","Manor Farm Brook","Letcombe Regis","110","120","140","210","220"
"39114","Pang","Frilsham","74","110","140","190","240"
"39115","Pang","Bucklebury","63","96","130","180","240"
"39116","Sulham Brook","Sulham","43","45","49","100","100"
"39117","Colne Brook","Hythe End","14","28","92","160","200"
"39118","Wey","Alton","100","140","170","190","220"
"39119","Wey","Kings Pond (Alton)","100","130","170","190","220"
"39120","Caker Stream","Alton","100","120","170","210","250"
"39121","Thames","Walton","8.3","54","100","180","330"
"39122","Cranleigh Waters","Bramley","34","49","69","120","260"
"39123","Blackwater","Farnborough","64","70","84","110","190"
"39125","Ver","Redbourn","92","120","160","200","240"
"39126","Red","Redbourn","93","110","140","160","170"
"39127","Misbourne","Little Missenden","98","130","170","220","250"
"39128","Bourne (South)","Addlestone","9.8","25","42","87","130"
"39129","Thames","Farmoor","61","77","120","220","330"
"39130","Thames","Reading","36","65","100","190","330"
"39131","Brent","Costons Lane Greenford","15","35","60","100","150"
"39134","Ravensbourne","Bromley South","45","58","71","99","150"
"39135","Quaggy","Chinbrook Meadows","34","55","81","100","130"
"39137","Yeading West","Gutteridge Wood","31","38","50","64","110"
"39138","Loddon","Twyford","32","49","75","120","230"
"39140","Ray","Islip","58","61","75","110","200"
"39141","Wey","Guildford","30","57","110","180","290"
"39142","Windrush","Bourton on the Water","130","180","230","270","300"
"39143","Dikler","Bourton on the Water","130","140","210","270","320"
"39144","Sor","Bodicote","90","120","150","190","220"
"39145","Yeading Brook East","Western Avenue A40","32","36","43","65","120"
"39146","Mill Brook","Blewbury","58","63","76","120","160"
"39147","Wendover Springs","Wendover","120","140","170","240","270"
"39148","Thames","Maidenhead","22","62","110","190","330"
"39866","Jubilee River","Taplow","","","","",""
"40001","Medway","Weir Wood Reservoir","67","84","110","150","190"
"40002","Darwell","Darwell Reservoir","29","46","95","150","190"
"40003","Medway","Teston / East Farleigh","6.8","23","68","130","270"
"40004","Rother","Udiam","7.2","32","78","140","200"
"40005","Beult","Stilebridge","13","21","39","81","160"
"40006","Bourne","Hadlow","23","45","97","160","230"
"40007","Medway","Chafford / Colliers Land Bridge","33","62","100","160","240"
"40008","Great Stour","Wye","31","40","70","130","200"
"40009","Teise","Stonebridge","26","53","92","130","200"
"40010","Eden","Penshurst / Vexour Bridge","27","48","72","130","270"
"40011","Great Stour","Horton","13","40","76","150","200"
"40012","Darent","Hawley","9.5","57","110","190","250"
"40013","Darent","Otford","60","83","130","190","250"
"40014","Wingham","Durlock","7.6","17","56","110","140"
"40015","White Drain","Fairbrook Farm","7","31","81","120","170"
"40016","Cray","Crayford","7","35","80","180","250"
"40017","Dudwell","Burwash","29","62","120","160","190"
"40018","Darent","Lullingstone","42","75","130","190","250"
"40020","Eridge Stream","Hendal Bridge","40","72","120","170","240"
"40021","Hexden Channel","Hopemill Bridge Sandhurst","8.9","26","66","100","140"
"40022","Great Stour","Chart Leacon","40","54","85","140","200"
"40023","East Stour","South Willesborough","39","48","77","120","190"
"40024","Bartley Mill St","Bartley Mill","55","80","120","150","200"
"40025","Brede","Brede Pumping Station","8.2","21","53","94","160"
"40027","Sarre Penn","Calcott","17","40","65","94","120"
"40029","Len","Lenside","10","51","89","150","200"
"40033","Dour","Crabble Mill","18","68","130","150","180"
"41001","Nunningham Stream","Tilley Bridge","8.8","20","46","84","130"
"41002","Ash Bourne","Hammer Wood Bridge","8.6","29","69","110","170"
"41003","Cuckmere","Sherman Bridge","4.7","18","42","100","210"
"41004","Ouse","Barcombe Mills","2.6","24","56","120","250"
"41005","Ouse","Gold Bridge","12","35","70","130","200"
"41006","Uck","Isfield","13","34","68","120","240"
"41009","Rother","Hardham","2.5","30","67","140","280"
"41010","Adur W Branch","Hatterell Bridge","5.5","14","30","61","110"
"41011","Rother","Iping Mill","28","49","81","150","270"
"41012","Adur E Branch","Sakeham","3.1","18","43","91","230"
"41013","Huggletts Stream","Henley Bridge","9.1","25","58","100","130"
"41014","Arun","Pallingham","4.1","24","55","110","290"
"41015","Ems","Westbourne","11","37","98","160","240"
"41016","Cuckmere","Cowbeech","31","49","84","140","180"
"41017","Combe Haven","Crowhurst","6.4","16","47","87","140"
"41018","Kird","Tanyards","7.3","23","45","78","280"
"41019","Arun","Alfoldean","23","41","74","120","290"
"41020","Bevern Stream","Clappers Bridge","9.5","24","45","79","250"
"41021","Clayhill Stream","Old Ship","5.2","12","20","32","40"
"41022","Lod","Halfway Bridge","16","41","70","150","280"
"41023","Lavant","Graylingwell","19","54","120","190","250"
"41024","Shell Brook","Shell Brook","37","66","110","150","190"
"41025","Loxwood Stream","Drungewick","16","31","60","120","280"
"41026","Cockhaise Brook","Holywell","29","55","95","160","200"
"41027","Rother","Princes Marsh","59","71","99","160","250"
"41028","Chess Stream","Chess Bridge","6.2","14","37","71","210"
"41029","Bull","Lealands","19","34","57","100","170"
"41030","Ouse","Ardingly","36","53","82","120","160"
"41031","Fulking Stream","Fulking","","","","",""
"41033","Costers Brook","Cocking","53","67","120","200","240"
"41034","Ems","Walderton","34","65","110","160","240"
"41035","North","Brookhurst","26","46","78","150","290"
"41037","Winterbourne Stream","Lewes","8.7","49","97","150","210"
"42001","Wallington","North Fareham","4.5","30","57","130","240"
"42003","Lymington","Brockenhurst","8.5","18","42","90","120"
"42004","Test","Broadlands","7.3","55","100","170","300"
"42005","Wallop Brook","Broughton","38","65","84","120","170"
"42006","Meon","Mislingford","30","64","110","170","260"
"42007","Alre","Drove Lane Alresford","56","87","120","170","210"
"42008","Cheriton Stream","Sewards Bridge","57","84","120","170","220"
"42009","Candover Stream","Borough Bridge","55","93","140","180","210"
"42010","Itchen","Highbridge & Allbrook Total","14","58","110","170","220"
"42011","Hamble","Frogmill","9.8","35","73","130","200"
"42012","Anton","Fullerton","40","72","100","170","250"
"42014","Blackwater","Ower","8.1","28","55","100","160"
"42015","Dever","Weston Colley","63","83","110","150","180"
"42016","Itchen","Easton","43","80","120","180","220"
"42017","Hermitage Stream","Havant","4.8","14","40","61","83"
"42018","Monks Brook","Stoneham Lane","7.8","29","55","120","160"
"42019","Tanners Brook","Millbrook","6.2","24","46","78","93"
