"Station number","River","Location","Catchment area","Year opened","Year closed","Peak flow data","Daily data","Live data","Factors affecting runoff"
"43022","Moors River","Hurn Court","143","1989","","No","Yes","No",""
"43023","Ebble","Nunton Bridge","107","1996","","No","Yes","No",""
"43024","Wylye","Stockton Park","255","1994","","No","Yes","No",""
"43025","Dockens Water","Moyles Court","17","2001","","No","Yes","No",""
"43027","Allen","All Hallows","","1992","","No","Yes","Yes","R"
"43801","Chitterne Brook","Codford","70","1994","","Yes","Yes","No","R"
"43806","Wylye","Brixton Deverill","50","1992","","Yes","Yes","No","PG"
"44001","Frome","East Stoke Total","414","1968","","Yes","Yes","No","N"
"44002","Piddle","Baggs Mill","183","1963","","Yes","Yes","Yes","G"
"44003","Asker","Bridport","49","1966","1980","Yes","Yes","No","N"
"44004","Frome","Dorchester Total","206","1971","","Yes","Yes","No","G"
"44006","Sydling Water","Sydling St Nicholas","12","1969","","Yes","Yes","Yes","N"
"44008","South Winterbourne","Winterbourne Steepleton","20","1974","","Yes","Yes","No","G"
"44009","Wey","Broadwey","7","1975","","Yes","Yes","Yes","G"
"44011","Asker","East Bridge Bridport","49","1996","","Yes","Yes","Yes",""
"44012","Piddle","South House","22","","","No","Yes","No",""
"44013","Piddle","Little Puddle","35","1993","","Yes","Yes","No",""
"44014","Piddle","Briantspuddle","112","1993","","Yes","Yes","No",""
"44015","Hooke","Hooke","12","1992","","Yes","Yes","No",""
"45001","Exe","Thorverton","601","1956","","Yes","Yes","Yes","SRPGEI"
"45002","Exe","Stoodleigh","422","1960","","Yes","Yes","Yes","SRPE"
"45003","Culm","Woodmill","226","1962","","Yes","Yes","Yes","PGEI"
"45004","Axe","Whitford","289","1964","","Yes","Yes","Yes","PGEI"
"45005","Otter","Dotton","203","1963","","Yes","Yes","Yes","PGEI"
"45006","Quarme","Enterwell","20","1964","1967","No","Yes","No","P"
"45007","Exe","Trews Weir","1191","1996","","Yes","Yes","Yes","SRPGEI"
"45008","Otter","Fenny Bridges","104","1974","","Yes","Yes","Yes","P"
"45009","Exe","Pixton","160","1966","","Yes","Yes","Yes","SRP"
