Station number;Catchment area;Station level;Mean GDF;Maximum GDF;Base flow index;QMED;Maximum altitude;Woodland;Arable/horticultural;Grassland;Mountain/heath/bog;Urban extent;ASPBAR (°);BFIHOST (%);DPSBAR (m/km);LDP (km);PROPWET;URBCON1990;URBCON2000;URBEXT1990;URBEXT2000;URBLOC1990;URBLOC2000
21008;1110;43;21;600;0.45;350;610;0.2;0.27;0.45;0.063;0.014;33;0.46;120;63;0.57;;;0.0025;0.0036;;
21009;4390;4.3;82;1300;0.52;830;840;0.15;0.23;0.45;0.15;0.011;67;0.49;140;150;0.49;;;0.0024;0.0032;;
21010;2080;67;43;610;0.52;;840;0.17;0.079;0.49;0.25;0.0078;96;0.51;170;100;0.51;;;0.0028;0.003;;
21011;231;130;6.5;140;0.47;88;840;0.12;0.0099;0.44;0.41;0.001;110;0.44;210;42;0.7;;;0.0002;0.0002;;
21012;323;90;9;290;0.42;190;610;0.27;0.13;0.52;0.055;0.018;58;0.43;150;34;0.59;0.76;0.81;0.0061;0.0071;0.18;0.24
21013;207;120;3.7;79;0.5;51;650;0.089;0.038;0.63;0.24;0.0015;83;0.53;150;43;0.44;;;0.001;0.0008;;
21014;139;210;4.2;120;0.44;;840;0.27;0.003;0.45;0.26;0.0011;330;0.41;220;23;0.72;;;0.0004;0.0009;;
21015;239;100;3.4;130;0.5;61;530;0.078;0.14;0.51;0.26;0.0031;140;0.56;110;31;0.43;;;0.0013;0.0013;;
21016;119;2.9;1.3;48;0.45;37;410;0.13;0.46;0.38;0.022;0.0053;110;0.6;69;37;0.29;;;0.0008;0.0022;;
21017;38;260;1.9;55;0.33;60;690;0.27;;0.43;0.3;;85;0.42;240;12;0.72;;;0;0;;
21018;175;170;3.1;60;0.57;;560;0.12;0.12;0.56;0.18;0.011;130;0.54;130;31;0.49;;;0.0014;0.0018;;
21019;62;200;1.7;28;0.59;25;820;0.1;0.0095;0.31;0.58;0.0013;10;0.48;270;14;0.72;;;0;0;;
21020;155;230;5.1;85;0.47;54;840;0.1;0.0013;0.36;0.5;0.0002;100;0.4;220;23;0.72;;;0;0;;
21021;3330;25;67;1100;0.5;820;840;0.17;0.16;0.47;0.18;0.011;67;0.5;150;130;0.53;;;0.0028;0.0035;;
21022;503;29;6.7;220;0.51;120;530;0.12;0.21;0.42;0.24;0.0052;120;0.52;90;57;0.35;;;0.0009;0.0018;;
21023;113;12;1;72;0.32;;220;0.053;0.76;0.18;0.0005;0.0075;120;0.39;35;29;0.3;;;0.0009;0.0022;;
21024;139;66;2.4;85;0.41;71;580;0.32;0.22;0.35;0.088;0.019;6;0.44;110;34;0.57;;0.68;0.0045;0.0062;;0.22
21025;174;61;2.8;68;0.41;52;450;0.18;0.24;0.45;0.11;0.0016;82;0.39;87;48;0.58;;;0.0002;0.0003;;
21026;31;230;1.4;52;0.25;;540;0.81;0.0039;0.096;0.085;0.0013;67;0.37;170;13;0.72;;;0;0.0002;;
21027;159;57;1.8;79;0.49;40;450;0.11;0.28;0.49;0.11;0.0096;140;0.52;57;37;0.41;;;0.0027;0.0039;;
21028;6;270;0.21;2.5;0.43;;690;0.75;;0.13;0.12;;310;0.39;260;6.9;0.72;;;0;0;;
21029;34;290;;;;38;630;0.47;;0.34;0.18;;10;0.35;170;12;0.72;;;0;0;;
21030;56;250;1.7;48;0.46;78;840;0.017;;0.38;0.56;;110;0.39;230;14;0.72;;;0;0;;
21031;648;25;8.5;130;0.57;83;810;0.089;0.28;0.51;0.11;0.01;45;0.5;130;77;0.46;;;0.0011;0.0021;;
21032;199;54;2.9;94;0.5;44;810;0.067;0.25;0.55;0.12;0.013;360;0.46;190;37;0.46;;;0.0008;0.0013;;
21034;116;240;3.8;91;0.49;39;840;0.068;0.0014;0.35;0.54;;100;0.39;220;21;0.72;;;0;0;;
21035;656;;10;210;0.54;140;810;0.088;0.3;0.5;0.11;0.01;44;0.5;130;84;0.44;;;0.0011;0.002;;
22001;570;5.2;8.7;390;0.44;150;770;0.16;0.18;0.53;0.13;0.0084;110;0.39;110;82;0.44;;;0.0012;0.002;;
22002;60;210;1.2;24;0.47;26;620;0.043;0.0001;0.72;0.24;;120;0.41;210;16;0.46;;;0;0;;
22003;21;210;0.56;27;0.39;19;770;0.32;0.0013;0.28;0.4;;190;0.3;210;16;0.45;;;0.0002;0;;
22004;205;14;2.4;91;0.45;63;340;0.17;0.2;0.54;0.079;0.013;100;0.43;80;35;0.45;;0.81;0.0046;0.0056;;0.33
22006;269;25;2.1;140;0.35;53;270;0.07;0.47;0.42;0.0064;0.028;94;0.33;32;45;0.42;0.74;0.8;0.01;0.0095;0.89;0.84
22007;287;31;3.3;230;0.37;98;440;0.19;0.22;0.53;0.059;0.0052;110;0.35;51;39;0.45;;;0.0005;0.0003;;
22008;28;160;0.57;31;0.49;;610;0.57;0.0024;0.3;0.13;0.0006;180;0.38;240;11;0.45;;;0;0;;
22009;346;71;5.9;280;0.48;130;770;0.17;0.1;0.56;0.16;0.0065;120;0.4;140;49;0.45;;;0.0014;0.0018;;
23001;2176;14;45;1500;0.38;840;890;0.21;0.057;0.54;0.18;0.01;83;0.32;94;94;0.51;;;0.002;0.0026;;
23002;118;180;0.97;110;0.56;48;560;0.11;0.012;0.43;0.42;0.0016;49;0.32;97;23;0.59;;;0.0003;0.0007;;
23003;1008;65;22;590;0.4;400;600;0.33;0.033;0.43;0.18;0.0074;130;0.31;92;66;0.5;;;0.0005;0.0005;;
23004;751;59;21;690;0.34;450;890;0.076;0.021;0.67;0.22;0.0084;23;0.3;110;60;0.6;;;0.0013;0.0023;;
23005;285;120;8;250;0.33;220;600;0.52;0.021;0.14;0.27;0.0073;120;0.27;110;36;0.62;;;0;0.0004;;
23006;322;130;11;280;0.32;240;890;0.053;0.0078;0.63;0.3;0.0034;12;0.27;120;36;0.64;;;0.0008;0.0015;;
23007;242;26;2.6;120;0.59;43;560;0.15;0.1;0.42;0.26;0.044;50;0.34;92;50;0.59;0.61;0.8;0.018;0.022;0.48;0.5
23008;344;110;6;220;0.32;130;580;0.2;0.014;0.59;0.19;0.0055;130;0.32;94;49;0.47;;;0.0006;0.0006;;
23009;119;260;4.4;120;0.26;130;890;0.026;0.0003;0.64;0.33;0.0025;5;0.27;120;17;0.64;;;0.0006;0.0013;;
23010;96;140;1.8;33;0.27;64;510;0.31;0.022;0.4;0.26;0.0038;150;0.3;85;18;0.56;;;0.0001;0;;
23011;59;210;1.9;54;0.32;66;600;0.31;0.0048;0.086;0.6;;190;0.27;140;13;0.59;;;0;0;;
23012;88;150;2.1;63;0.34;85;670;0.053;0.011;0.74;0.19;0.0047;17;0.3;110;23;0.59;;;0.0017;0.0017;;
23013;75;160;1.6;38;0.27;54;670;0.058;0.0021;0.67;0.26;0.0025;36;0.28;120;18;0.63;;;0.0003;0.0004;;
23014;27;190;0.81;19;0.35;;600;0.48;0.03;0.2;0.28;0.0056;86;0.28;130;10;0.62;;;0;0.0012;;
23015;1044;60;17;430;0.3;420;600;0.32;0.036;0.44;0.18;0.0075;130;0.31;91;69;0.5;;;0.0005;0.0006;;
23016;55;36;0.32;19;0.29;;140;0.057;0.34;0.16;0.012;0.41;72;0.31;22;15;0.33;0.83;0.93;0.21;0.29;0.81;0.81
23017;62;9.2;0.8;15;0.67;12;310;0.09;0.27;0.33;0.028;0.27;94;0.37;64;22;0.33;0.74;0.86;0.095;0.14;0.77;0.86
23018;9;63;0.069;5.1;0.31;3.1;140;0.012;0.67;0.18;0.0065;0.11;67;0.31;31;6;0.45;0.83;0.94;0.061;0.1;1.2;1.2
23022;242;140;8.1;160;0.5;;600;0.53;0.015;0.1;0.31;0.0067;110;0.27;110;27;0.62;;;0;0.0005;;
23033;181;;;;;140;580;0.27;0.011;0.48;0.22;0.0043;120;0.31;110;28;0.49;;;0.0005;0.0003;;
24001;658;40;11;350;0.42;190;750;0.084;0.14;0.53;0.18;0.041;95;0.34;98;72;0.47;0.61;0.76;0.015;0.019;0.51;0.5
24002;93;65;0.93;24;0.5;;450;0.053;0.29;0.51;0.037;0.096;100;0.37;61;33;0.42;0.67;0.79;0.035;0.048;0.5;0.51
24003;172;200;3.9;140;0.34;120;750;0.038;0.0008;0.72;0.21;0.003;75;0.3;130;23;0.59;;;0.0016;0.0015;;
24004;75;110;1.2;34;0.46;25;530;0.25;0.027;0.31;0.4;0.0016;95;0.36;110;17;0.59;;;0.0007;0.0006;;
24005;179;44;1.6;67;0.49;38;380;0.12;0.26;0.53;0.017;0.065;90;0.33;78;35;0.41;0.65;0.81;0.027;0.031;0.79;0.78
24006;37;240;0.78;23;0.35;25;610;0.021;;0.72;0.26;0.0002;120;0.29;120;15;0.59;;;0.0026;0.0001;;
24007;45;110;0.55;14;0.45;11;380;0.13;0.11;0.72;0.031;0.0051;74;0.33;75;15;0.59;;;0.0014;0.0009;;
24008;455;77;7.8;240;0.43;200;750;0.093;0.048;0.58;0.26;0.0092;91;0.34;110;50;0.59;;;0.0032;0.0035;;
24009;1008;5.5;15;340;0.47;240;750;0.091;0.22;0.48;0.13;0.069;90;0.35;88;100;0.4;0.66;0.8;0.025;0.031;0.66;0.65
24011;21;340;0.56;28;0.25;;750;0.038;;0.51;0.42;;70;0.24;130;8.5;0.59;;;0;0;;
25001;818;37;18;440;0.34;380;880;0.045;0.13;0.45;0.34;0.012;110;0.35;82;86;0.54;;;0.0029;0.0045;;
25002;217;230;7.7;130;0.24;;880;0.0076;0.0008;0.45;0.51;0.0006;110;0.28;110;35;0.6;;;0;0.0001;;
25003;11;530;0.56;28;0.13;15;840;0.0031;;0.079;0.91;;47;0.23;92;5.9;0.64;;;0;0;;
25004;250;34;1.6;43;0.5;22;220;0.051;0.47;0.29;0.0001;0.17;150;0.4;34;49;0.32;0.73;0.86;0.069;0.091;0.67;0.67
25005;196;5.2;1.9;72;0.42;44;450;0.13;0.43;0.33;0.059;0.044;300;0.38;76;45;0.34;0.56;0.74;0.0098;0.014;0.96;0.97
25006;86;220;2.3;59;0.22;73;590;0.012;0.008;0.34;0.62;0.0044;54;0.24;68;24;0.62;;;0.0006;0.0013;;
25007;78;29;0.75;29;0.54;;460;0.036;0.58;0.3;0.031;0.03;54;0.5;37;34;0.42;0.35;0.64;0.0055;0.007;1;0.9
25008;509;130;14;320;0.44;260;880;0.027;0.0083;0.49;0.44;0.0062;110;0.32;99;55;0.6;;;0.0012;0.0026;;
25009;1264;12;21;490;0.39;400;880;0.048;0.26;0.4;0.23;0.047;110;0.37;66;120;0.4;0.68;0.83;0.017;0.022;0.68;0.69
25011;13;370;0.42;11;0.19;16;700;0.006;;0.51;0.47;;210;0.24;120;7.2;0.59;;;0.0006;0.001;;
25012;25;370;0.99;29;0.24;33;710;0.0019;;0.76;0.23;;150;0.26;120;9.4;0.59;;;0.0001;0;;
25018;242;210;9;210;0.42;210;880;0.011;0.0008;0.48;0.48;0.0014;120;0.28;110;38;0.6;;;0.0002;0.0005;;
25019;15;100;0.2;7.4;0.58;5.4;330;0.21;0.12;0.43;0.18;0.046;260;0.52;130;9.5;0.38;;;0.0009;0.0043;;
25020;147;68;0.88;23;0.41;15;220;0.052;0.52;0.29;0.0002;0.13;150;0.44;36;30;0.32;0.66;0.82;0.039;0.049;1.1;1.1
25021;70;72;0.41;16;0.44;6;190;0.051;0.54;0.27;;0.12;170;0.47;40;22;0.32;0.64;0.82;0.036;0.046;1;0.99
25022;20;280;0.63;7.8;0.23;;560;0.0033;;0.29;0.64;0.001;72;0.24;73;12;0.62;;;0;0;;
25023;58;470;3;32;0.63;;880;0.0006;;0.33;0.6;;85;0.23;89;18;0.63;;;0;0;;
25029;184;4.9;2;49;0.43;;450;0.13;0.41;0.34;0.062;0.045;300;0.38;77;38;0.35;0.56;0.74;0.01;0.014;0.91;0.93
25808;0;;;;;0.08;570;;;;1;;220;0.29;120;1.8;0.64;0;;0;0;;
25809;0;520;;;;0.066;550;;;;1;;110;0.23;100;0.36;0.64;0;;0;0;;
25810;0;530;;;;0.095;540;;;0.18;0.82;;88;0.28;80;0.33;0.64;0;;0;0;;
26001;192;5.1;2.5;12;0.96;;250;0.04;0.69;0.23;0.0001;0.014;110;0.9;55;37;0.32;0.51;0.7;0.0079;0.0055;0.63;0.54
26002;378;2.8;4.6;130;0.76;;250;0.028;0.71;0.21;0.0011;0.023;120;0.81;43;47;0.31;0.58;0.74;0.01;0.008;0.71;0.67
26003;57;6.4;0.67;3.1;0.96;1.8;160;0.017;0.78;0.17;;0.015;150;0.88;48;24;0.3;0.44;;0.0052;0.0043;0.91;
26004;254;11;0.28;3.4;0.9;;210;0.021;0.79;0.16;0.0001;0.011;140;0.95;51;43;0.3;;;0.0039;0.0022;;
26005;240;17;0.24;5;0.92;;210;0.018;0.79;0.16;0.0001;0.01;130;0.95;51;39;0.3;;;0.0037;0.0019;;
26006;136;20;0.6;5.5;0.97;;110;0.015;0.72;0.2;;0.015;;;;;;;;;;;
26007;16;11;0.1;2.5;0.35;;20;0.002;0.75;0.14;0.0074;0.083;180;0.43;9;7.1;0.3;;0.62;0.0046;0.007;;1.4
26008;42;10;0.24;3.6;0.87;;160;0.058;0.59;0.28;0.0007;0.03;250;0.88;64;13;0.26;0.65;0.61;0.0058;0.0096;0.49;0.57
26009;242;8;2.2;8.6;0.98;5.9;250;0.04;0.69;0.23;0.0001;0.014;110;0.9;55;38;0.32;0.51;0.7;0.0079;0.0055;0.64;0.55
26010;25;8;;;;1.9;180;0.017;0.68;0.2;;0.053;150;0.86;49;20;0.31;0.78;0.83;0.026;0.025;0.5;0.49
26011;43;5.5;0.31;8.1;0.71;;150;0.048;0.58;0.3;0.0008;0.045;230;0.74;31;18;0.28;0.7;0.76;0.01;0.013;1;1.1
26012;70;6;1.1;36;0.3;;160;0.077;0.54;0.33;0.0018;0.043;220;0.63;22;22;0.29;0.64;0.67;0.0077;0.01;0.51;0.75
26013;53;13;1.3;6.5;0.94;2.8;160;0.036;0.78;0.16;0.0003;0.012;100;0.81;28;17;0.32;0.51;0.44;0.0095;0.006;0.59;0.39
26014;32;;0.097;0.97;0.89;0.43;180;0.018;0.7;0.21;;0.017;150;0.95;66;13;0.31;0.72;0.77;0.0062;0.0072;0.065;0.067
26802;16;;0.023;0.19;0.91;0.11;210;0.0079;0.74;0.22;;0.0089;10;0.96;57;7.3;0.32;0.003;;0.0028;0;;
27001;484;18;7.7;240;0.48;120;700;0.086;0.19;0.5;0.14;0.066;93;0.41;75;76;0.37;0.78;0.85;0.025;0.032;0.61;0.63
27002;759;14;18;480;0.41;230;700;0.085;0.06;0.62;0.18;0.041;140;0.39;110;110;0.43;0.65;0.78;0.01;0.016;0.54;0.57
27003;1932;5.5;37;320;0.55;280;590;0.12;0.094;0.45;0.092;0.22;99;0.48;92;120;0.38;0.77;0.85;0.1;0.13;0.74;0.77
27004;899;14;18;270;0.53;210;580;0.15;0.091;0.41;0.14;0.18;88;0.53;110;76;0.4;0.73;0.81;0.086;0.1;0.72;0.75
27005;114;120;2.7;150;0.47;;700;0.036;0.0032;0.52;0.4;0.0035;97;0.33;130;23;0.62;;;0.0002;0.0002;;
27006;373;30;5.1;190;0.49;87;540;0.16;0.062;0.36;0.19;0.2;73;0.42;110;51;0.37;0.79;0.9;0.11;0.13;0.45;0.47
27007;915;14;22;490;0.39;260;710;0.078;0.14;0.56;0.19;0.023;84;0.42;99;100;0.41;;0.69;0.0039;0.0078;;0.54
27008;1346;13;;;;170;710;0.064;0.35;0.41;0.12;0.033;120;0.44;67;110;0.38;0.55;0.74;0.0091;0.013;0.69;0.73
27009;3315;4.6;51;610;0.45;320;710;0.07;0.31;0.44;0.12;0.039;100;0.44;69;150;0.37;0.62;0.77;0.01;0.015;0.75;0.78
27010;19;160;0.34;9.8;0.49;9.4;450;0.17;0.021;0.29;0.48;0.017;160;0.34;150;10;0.4;;;0.0026;0.0007;;
27011;87;93;0.58;25;0.39;;460;0.13;0.016;0.52;0.28;0.02;100;0.34;87;23;0.44;;;0.0008;0.0012;;
27012;36;190;0.7;13;0.44;;500;0.019;0.0028;0.3;0.62;0.0003;150;0.27;110;9.8;0.57;;;0;0;;
27013;26;120;0.29;13;0.38;;540;0.2;0.023;0.28;0.45;0.0042;66;0.38;130;13;0.38;;;0.0009;0.0003;;
27014;679;19;9.3;140;0.62;85;450;0.16;0.28;0.29;0.23;0.023;150;0.55;98;58;0.35;;;0.0034;0.0045;;
27015;1634;5.1;16;120;0.69;86;450;0.15;0.42;0.27;0.12;0.032;160;0.6;76;100;0.34;0.54;0.72;0.0071;0.008;0.87;0.86
27016;39;170;0.64;23;0.4;;540;0.14;0.035;0.28;0.47;0.012;42;0.37;120;15;0.37;;;0.0044;0.0029;;
27017;44;120;0.56;18;0.39;;530;0.14;0.022;0.48;0.31;0.0089;110;0.38;130;12;0.38;;;0.0008;0.0014;;
27018;11;160;0.16;5.6;0.33;;470;0.042;0.0058;0.41;0.5;0.014;80;0.3;120;7.8;0.57;;;0;0;;
27019;16;210;0.23;6;0.32;;480;0.016;0.0008;0.35;0.56;0.0063;36;0.27;120;7.7;0.57;;;0.0006;0.0006;;
27020;15;210;0.11;4.6;0.12;;380;0.095;0.16;0.61;;0.037;75;0.65;63;7.5;0.34;0.4;0.63;0.01;0.01;0.61;0.63
27021;1256;4.4;16;310;0.57;170;540;0.15;0.23;0.29;0.057;0.26;77;0.49;77;83;0.34;0.75;0.88;0.12;0.13;0.85;0.87
27022;826;23;12;390;0.54;140;540;0.14;0.18;0.31;0.086;0.26;75;0.46;85;57;0.38;0.77;0.89;0.12;0.14;0.69;0.73
27023;119;43;1.3;110;0.48;27;380;0.18;0.28;0.37;0.0006;0.16;78;0.54;74;25;0.32;0.73;0.84;0.065;0.074;0.59;0.6
27024;381;110;10;280;0.35;240;710;0.035;0.0047;0.55;0.39;0.0049;86;0.34;130;49;0.62;;;0.0003;0.0009;;
27025;352;29;4.2;88;0.55;49;390;0.11;0.29;0.3;0.0047;0.28;77;0.49;69;39;0.38;0.1;0.87;0.1;0.13;0.88;0.94
27026;165;58;1.9;87;0.44;36;390;0.11;0.22;0.37;0.0095;0.29;79;0.49;73;19;0.38;0.74;0.88;0.11;0.15;0.74;0.78
27027;443;71;14;250;0.38;270;700;0.058;0.012;0.67;0.22;0.014;160;0.37;140;62;0.62;;;0.0019;0.0044;;
27028;692;26;15;300;0.48;140;590;0.094;0.033;0.61;0.078;0.17;120;0.41;95;81;0.49;0.77;0.86;0.072;0.11;0.56;0.58
27029;342;58;8.3;270;0.5;130;500;0.13;0.015;0.46;0.27;0.084;100;0.46;140;36;0.57;0.66;0.75;0.034;0.048;0.56;0.63
27030;311;13;3.4;71;0.57;42;380;0.16;0.33;0.28;0.0003;0.22;86;0.53;62;46;0.32;0.72;0.85;0.097;0.11;0.82;0.83
27031;245;48;4.4;120;0.41;94;580;0.18;0.051;0.46;0.13;0.16;54;0.61;120;27;0.52;0.7;0.78;0.079;0.09;0.57;0.62
27032;22;230;0.18;3.3;0.43;3.9;690;0.0019;0.0014;0.44;0.51;0.0017;180;0.25;99;12;0.62;;;0;0;;
27033;33;21;;;;32;200;0.15;0.39;0.35;0.0013;0.11;130;0.47;79;13;0.33;0.66;0.82;0.038;0.053;0.51;0.48
27034;510;88;16;330;0.32;250;710;0.055;0.023;0.71;0.19;0.011;83;0.39;130;61;0.63;;;0.0016;0.0043;;
27035;282;87;6.6;140;0.37;58;590;0.062;0.033;0.81;0.047;0.038;170;0.39;100;38;0.62;0.61;0.73;0.0089;0.019;0.58;0.62
27038;8;22;0.62;7.3;0.95;;160;0.034;0.53;0.33;;0.099;190;0.76;34;6.5;0.4;0.61;0.76;0.028;0.04;0.66;0.64
27040;68;48;0.57;20;0.49;9.3;200;0.052;0.44;0.28;;0.22;18;0.43;62;18;0.38;0.68;0.85;0.056;0.06;0.76;0.82
27041;1586;9.5;17;140;0.7;72;450;0.15;0.41;0.27;0.12;0.031;160;0.61;77;99;0.34;0.54;0.72;0.0072;0.008;0.86;0.85
27042;59;36;1;18;0.61;;430;0.1;0.13;0.39;0.32;0.03;170;0.49;140;27;0.4;0.5;0.78;0.0053;0.0082;0.21;0.18
27043;427;80;14;290;0.34;260;700;0.055;0.011;0.68;0.23;0.012;170;0.37;140;59;0.62;;;0.0012;0.0036;;
27044;47;5.7;0.45;20;0.4;;240;0.066;0.56;0.31;;0.06;230;0.44;31;19;0.32;0.48;0.67;0.0069;0.012;0.73;0.67
27047;10;260;0.56;14;0.18;;670;0.14;;0.84;0.013;;320;0.31;200;7.3;0.62;;;0;0;;
27048;127;34;0.51;5.1;0.71;;300;0.39;0.19;0.24;0.18;0.0049;150;0.47;120;29;0.4;;;0.0014;0.0009;;
27049;239;26;3.6;65;0.68;;450;0.18;0.21;0.31;0.26;0.02;130;0.59;120;50;0.34;;;0.0016;0.0029;;
27050;308;4.8;4.4;130;0.43;130;430;0.098;0.084;0.32;0.47;0.024;68;0.35;110;46;0.4;;;0.0017;0.003;;
27051;8;110;0.11;3.6;0.32;4.5;240;0.088;0.073;0.82;;0.022;84;0.31;63;5.3;0.34;;0.33;0.0015;0.0058;;0.9
27052;50;70;0.79;31;0.5;15;390;0.12;0.22;0.4;0.028;0.22;110;0.54;92;12;0.38;0.75;0.85;0.089;0.11;0.9;0.91
27053;218;67;5;110;0.46;95;700;0.067;0.016;0.56;0.31;0.014;99;0.36;110;39;0.53;;;0.0015;0.0039;;
27054;37;38;0.66;12;0.53;;450;0.12;0.026;0.32;0.51;0.013;170;0.35;130;16;0.4;;;0.0013;0.0003;;
27055;132;38;2.2;69;0.58;42;450;0.14;0.04;0.36;0.43;0.01;190;0.42;140;22;0.34;;;0.0007;0.0005;;
27056;69;28;0.84;35;0.67;;300;0.25;0.26;0.3;0.16;0.025;180;0.69;110;26;0.4;0.67;0.87;0.0064;0.0083;0.32;0.27
27057;122;29;1.6;48;0.43;;430;0.18;0.15;0.29;0.35;0.022;180;0.43;100;31;0.4;;;0.0028;0.0033;;
27058;58;30;0.44;16;0.65;;420;0.18;0.22;0.23;0.34;0.016;170;0.51;94;22;0.38;;;0.0033;0.002;;
27059;88;30;1.1;30;0.44;22;410;0.12;0.12;0.49;0.24;0.026;93;0.42;64;26;0.36;;0.72;0.0036;0.0097;;0.41
27060;168;5.7;13;260;0.11;;160;0.047;0.66;0.23;0;0.04;210;0.52;14;24;0.34;0.53;0.75;0.0083;0.01;0.99;1.1
27061;72;73;1.4;29;0.44;;520;0.098;0.017;0.48;0.25;0.12;84;0.52;130;20;0.57;0.69;0.74;0.069;0.075;0.38;0.39
27062;516;8.2;8.5;180;0.49;86;700;0.083;0.22;0.48;0.13;0.065;91;0.42;72;92;0.36;0.78;0.85;0.024;0.031;0.75;0.77
27063;26;240;0.82;17;0.36;;550;0.013;0.003;0.15;0.77;0.0016;190;0.26;80;8.2;0.62;;;0;0;;
27064;84;5.7;0.56;22;0.58;;95;0.069;0.67;0.13;0.0001;0.12;66;0.62;34;23;0.32;0.8;0.82;0.043;0.051;1.2;1.2
27065;97;68;2.1;45;0.51;39;580;0.2;0.042;0.5;0.13;0.1;40;0.6;130;21;0.57;0.6;0.73;0.038;0.05;0.57;0.67
27066;43;33;0.32;34;0.38;;310;0.25;0.14;0.24;0.0007;0.35;89;0.49;83;14;0.38;0.69;0.87;0.16;0.17;0.77;0.82
27067;49;54;0.58;30;0.45;;430;0.17;0.062;0.25;0.096;0.41;79;0.4;97;15;0.38;0.75;0.92;0.17;0.26;0.59;0.62
27068;33;97;0.61;14;0.51;;480;0.059;0.0074;0.41;0.45;0.021;55;0.33;130;11;0.57;0.084;0.59;0.0035;0.0058;0.053;0.26
27069;216;20;4.6;140;0.15;;310;0.042;0.57;0.34;0.0011;0.042;250;0.4;27;49;0.34;0.69;0.81;0.017;0.02;0.68;0.66
27071;1363;12;21;250;0.48;160;710;0.064;0.35;0.41;0.12;0.034;120;0.44;67;120;0.38;0.55;0.74;0.009;0.013;0.71;0.75
27072;72;97;1.4;21;0.51;;460;0.07;0.024;0.47;0.32;0.095;68;0.36;120;15;0.57;0.68;0.78;0.038;0.057;0.36;0.39
27073;13;9;0.27;1.5;0.91;0.82;220;0.05;0.71;0.18;0.0065;0.053;160;0.89;48;9.7;0.39;0.49;0.46;0.012;0.0079;0.88;0.88
27074;46;41;0.58;18;0.54;;300;0.1;0.059;0.4;0.0019;0.42;150;0.43;66;16;0.39;0.75;0.85;0.2;0.26;0.99;1
27075;160;24;3.1;140;0.34;;460;0.057;0.43;0.45;0.024;0.036;110;0.5;38;35;0.38;0.5;0.72;0.0091;0.013;0.49;0.53
27076;103;6.2;0.47;11;0.54;;250;0.09;0.49;0.36;0.0001;0.039;200;0.76;67;24;0.32;0.69;0.77;0.0081;0.0099;0.67;0.67
27077;58;68;0.59;14;0.52;;400;0.093;0.031;0.27;0.0068;0.57;46;0.53;80;17;0.57;0.84;0.91;0.32;0.42;0.83;0.84
27079;930;17;20;310;0.56;230;580;0.15;0.11;0.4;0.13;0.19;87;0.53;100;89;0.39;0.74;0.82;0.088;0.11;0.76;0.8
27080;865;18;18;230;0.54;150;590;0.099;0.042;0.54;0.062;0.24;120;0.4;87;96;0.4;0.79;0.88;0.11;0.15;0.56;0.58
27081;25;20;0.15;5.2;0.53;2.4;140;0.099;0.29;0.18;0.0005;0.4;87;0.54;40;14;0.32;0.76;0.85;0.21;0.22;0.99;1
27082;24;14;0.26;35;0.33;;61;0.02;0.69;0.18;;0.086;91;0.65;15;9.9;0.34;0.52;0.69;0.011;0.018;1;1
27083;118;7.5;0.88;33;0.43;13;170;0.06;0.54;0.28;0.014;0.082;200;0.48;20;34;0.32;0.71;0.83;0.024;0.034;0.37;0.4
27084;43;89;0.88;37;0.35;29;440;0.064;0.027;0.76;0.093;0.044;35;0.32;110;12;0.62;0.6;0.66;0.01;0.018;0.47;0.55
27085;209;19;1.7;28;0.48;;400;0.13;0.43;0.33;0.07;0.033;230;0.41;69;38;0.34;0.52;0.7;0.0089;0.012;0.7;0.59
27086;120;23;1.5;39;0.47;28;410;0.12;0.13;0.48;0.23;0.035;86;0.42;66;28;0.36;0.45;0.77;0.0074;0.015;0.15;0.33
27087;458;15;4.1;28;0.82;15;300;0.19;0.48;0.23;0.057;0.034;180;0.68;67;56;0.34;0.57;0.74;0.011;0.01;0.91;0.98
27088;172;89;3.9;100;0.45;82;500;0.1;0.0074;0.49;0.32;0.047;150;0.36;150;20;0.57;0.52;0.65;0.011;0.023;0.78;0.81
27089;818;6.6;17;370;0.41;210;700;0.09;0.091;0.59;0.17;0.044;130;0.42;110;120;0.41;0.63;0.78;0.011;0.018;0.57;0.59
27090;499;60;13;300;0.37;310;710;0.055;0.067;0.54;0.3;0.019;84;0.38;120;61;0.61;;0.74;0.0041;0.008;;0.32
27091;77;22;1;90;0.34;;240;0.092;0.29;0.48;;0.13;85;0.49;48;25;0.34;0.81;0.88;0.056;0.069;1.1;1.1
27092;325;7;5.1;140;0.4;150;430;0.11;0.089;0.31;0.45;0.025;62;0.35;110;47;0.4;;;0.0023;0.0038;;
27094;158;28;1.4;32;0.32;14;310;0.039;0.56;0.36;0.0015;0.038;270;0.37;30;39;0.34;0.7;0.82;0.016;0.018;0.44;0.41
27095;66;31;;;;8.7;300;0.25;0.26;0.31;0.16;0.017;180;0.69;120;23;0.4;;;0.003;0.0034;;
27096;215;170;11;200;0.28;190;700;0.057;0.0012;0.8;0.12;0.005;160;0.39;170;33;0.62;;;0.0005;0.0018;;
27097;465;;;;;100;;;;;;;140;0.38;100;53;0.62;0.68;0.78;0.021;0.036;0.5;0.56
27098;697;;16;300;0.5;250;580;0.15;0.039;0.46;0.17;0.15;88;0.52;120;54;0.51;0.71;0.79;0.07;0.087;0.64;0.68
